,Row,A (mean_all),B (mean_all),C (mean_all),D (mean_all)
220,A (ctrl_sub229_meditation),98.8464855593096,9.89438950070276,45.2687937258739,53.296426288005
221,B (ctrl_sub229_meditation),3.24156970808008,82.7713049402002,21.256912356197,43.6619030665643
222,C (ctrl_sub229_meditation),31.1098480497653,52.9965459044263,92.3037528270451,10.4160368522079
223,D (ctrl_sub229_meditation),62.315429181079,59.2309292718283,51.6773623000266,86.0944045533875
224,A (ctrl_sub230_meditation),82.3977227984308,42.1467223769358,81.9934093202148,51.5284383391727
225,B (ctrl_sub230_meditation),8.62632418198308,43.3745039325426,3.15798248086598,73.4373444364069
226,C (ctrl_sub230_meditation),17.0116659296238,68.8374026490703,81.6191367203972,10.7794221134657
227,D (ctrl_sub230_meditation),62.3581822830147,53.9415637317318,43.7471845468459,91.8656174493749
228,A (ctrl_sub231_meditation),52.1602157172913,1.2241959825961,1.91879473274462,66.3337555111817
229,B (ctrl_sub231_meditation),16.5097241208688,90.1883379319086,45.6493252480066,51.9476693209132
230,C (ctrl_sub231_meditation),72.2083767593838,26.4132242140824,87.1445935316526,21.988618182001
231,D (ctrl_sub231_meditation),65.2443053134217,52.2921837735121,45.4751959084551,90.6333951529463
232,A (ctrl_sub232_meditation),80.1390942361935,0.90506638173722,41.0908416888206,16.8482406164707
233,B (ctrl_sub232_meditation),7.74134167052197,80.9463026204783,25.003854172186,51.9573316354731
234,C (ctrl_sub232_meditation),21.2334271322142,54.1739718716305,85.3477520370104,6.75849269723286
235,D (ctrl_sub232_meditation),63.539541937777,25.5045264828373,21.3275750045398,90.5236812987978
236,A (ctrl_sub233_meditation),88.1483357374789,31.8718790371383,51.2247185625972,78.5776652091324
237,B (ctrl_sub233_meditation),13.9811477402163,89.7588067349074,39.2319996337874,54.3447235048721
238,C (ctrl_sub233_meditation),27.0506584457984,46.9395435368988,88.3175038444264,6.57410421307423
239,D (ctrl_sub233_meditation),37.5484835292789,9.98256287855989,1.93760469162009,82.3578059361661
240,A (ctrl_sub001_music),61.8655980823198,49.7344586828108,38.2229816211757,94.706503192466
241,B (ctrl_sub001_music),40.2526790530667,69.1901680649886,87.4211149884334,31.0037549422765
242,C (ctrl_sub001_music),7.41536194825335,28.867458192989,66.5935981836454,0.287024069303211
243,D (ctrl_sub001_music),17.395848527701,0.763007332628309,2.4045221178868,59.7921735799768
244,A (ctrl_sub002_music),93.2981841652523,29.4425432607702,60.7106334361631,67.2015051285217
245,B (ctrl_sub002_music),22.9633342000867,30.8811253162337,1.45935873336478,3.2196605233258
246,C (ctrl_sub002_music),19.5999227497179,95.9000395294845,70.0132997409519,36.8163901162486
