,Dataset,Subject,Group,Condition,MeanDuration_A,MeanDuration_B,MeanDuration_C,MeanDuration_D,MeanDurationAll,MeanOccurrence_A,MeanOccurrence_B,MeanOccurrence_C,MeanOccurrence_D,MeanOccurrenceAll,Coverage_A,Coverage_B,Coverage_C,Coverage_D,MeanGFP_A,MeanGFP_B,MeanGFP_C,MeanGFP_D,OrgTM_A->B,OrgTM_A->C,OrgTM_A->D,OrgTM_B->A,OrgTM_B->C,OrgTM_B->D,OrgTM_C->A,OrgTM_C->B,OrgTM_C->D,OrgTM_D->A,OrgTM_D->B,OrgTM_D->C,psi/ctrl
20,ctrl_sub023_meditation,sub023,non meditator,meditation,0.054145,0.049314,0.057314,0.050027,0.052906,4.9549,4.2635,5.0846,4.5984,18.9014,26.8062,21.081,29.0602,23.0526,4.8981,4.648,5.1608,5.0957,7.8656,9.9656,8.4002,8.2856,7.8465,6.3956,9.9465,7.4074,9.5265,7.9801,7.2738,9.1065,ctrl
21,ctrl_sub025_meditation,sub025,non meditator,meditation,0.045596,0.045134,0.041969,0.04035,0.043342,6.1327,5.9319,5.2345,5.7734,23.0725,27.9015,26.7263,22.0002,23.372,5.468,5.914,5.724,5.5819,9.502,7.8674,9.2117,9.5325,7.9132,8.2646,7.3786,7.7605,7.5466,9.6548,8.4632,6.905,ctrl
22,ctrl_sub026_meditation,sub026,non meditator,meditation,0.042775,0.05102,0.042945,0.043161,0.045196,5.4589,6.139,5.1755,5.3526,22.126,23.4063,31.1699,22.2753,23.1485,4.4379,5.0807,4.6166,4.8691,9.0545,7.7885,7.8205,9.9038,8.6859,9.1667,6.9551,9.2468,7.2115,7.8365,9.4391,6.891,ctrl
23,ctrl_sub027_meditation,sub027,non meditator,meditation,0.043313,0.041396,0.041264,0.037546,0.041001,6.4293,6.2716,6.1982,5.4904,24.3895,27.7782,25.9507,25.5688,20.7023,4.8521,4.9109,4.8399,4.7796,9.6716,9.295,7.4119,9.0389,8.3911,8.2706,9.5209,9.0389,6.8695,7.7584,7.0202,7.7132,ctrl
24,ctrl_sub028_meditation,sub028,non meditator,meditation,0.037568,0.036823,0.038136,0.042277,0.038816,5.9437,6.1959,6.6111,7.0116,25.7623,22.3659,22.8758,25.2341,29.5241,4.5192,4.498,4.5406,4.9262,7.2098,7.5415,8.3201,7.3252,7.9019,8.8248,7.6136,8.0173,10.036,8.1759,8.8248,10.2091,ctrl
25,ctrl_sub029_meditation,sub029,non meditator,meditation,0.050959,0.042791,0.047992,0.041744,0.046212,5.8388,4.9113,6.0411,4.8481,21.6392,29.6387,21.0859,28.9477,20.3278,4.2143,3.8435,4.2665,4.0613,8.4786,10.8674,7.6953,7.9303,8.6939,6.0701,10.8674,8.3807,8.6939,8.1457,5.8351,8.3415,ctrl
26,ctrl_sub030_meditation,sub030,non meditator,meditation,0.059878,0.064532,0.063167,0.051021,0.059855,3.9229,3.9472,4.9001,3.9368,16.707,23.489,25.4126,30.9,20.1984,6.3765,6.6216,5.8522,5.2141,7.2515,9.7104,6.5222,6.8556,9.7104,7.064,10.1271,9.2311,9.9812,6.5222,7.1473,9.8771,ctrl
27,ctrl_sub031_meditation,sub031,non meditator,meditation,0.050767,0.052154,0.052532,0.057589,0.053433,4.4748,4.1272,4.9102,5.2029,18.7151,22.7603,21.5442,25.8103,29.8852,6.0054,6.2667,6.3611,6.5705,6.5635,8.0721,9.2476,6.5243,7.1317,8.4052,8.6011,7.4451,10.1685,8.7382,8.0525,11.0502,ctrl
28,ctrl_sub032_meditation,sub032,non meditator,meditation,0.077323,0.062097,0.067182,0.053798,0.06582,4.1707,3.7275,4.0045,3.2904,15.193,32.1074,23.1875,26.8869,17.8182,8.6822,7.7832,7.9235,7.3017,9.4366,10.6976,7.3419,9.7824,8.1961,6.508,10.3112,8.2774,7.8096,7.3826,6.8538,7.4029,ctrl
29,ctrl_sub201_meditation,sub201,meditator,meditation,0.052859,0.057763,0.047565,0.047988,0.051796,5.226,5.1069,4.3993,4.5745,19.3066,27.6033,29.3853,20.9947,22.0166,6.3518,7.2166,6.4571,6.6243,10.147,8.4226,8.4952,10.2378,7.6239,8.6041,8.2411,7.9325,6.5892,8.6041,8.3681,6.7344,ctrl
